neighborhood,img_name,pixel_count,pixel_proportion
BMA A,BMA A T10E_Edited2.PNG,423898,21.04411
BMA A,BMA A T10N_Edited2.PNG,210846,10.4673
BMA A,BMA A T10S_Edited2.PNG,364083,18.07464
BMA A,BMA A T10W_Edited2.PNG,698168,34.66004
BMA A,BMA A T1E_Edited2.PNG,13688,0.67953
BMA A,BMA A T1N_Edited2.PNG,3587,0.17807
BMA A,BMA A T1S_Edited2.PNG,110315,5.47651
BMA A,BMA A T1W_Edited2.PNG,78766,3.91028
BMA A,BMA A T2E_Edited2.PNG,103755,5.15084
BMA A,BMA A T2N_Edited2.PNG,62831,3.1192
BMA A,BMA A T2S_Edited2.PNG,346183,17.186
BMA A,BMA A T2W_Edited2.PNG,109632,5.4426
BMA A,BMA A T3E_Edited2.PNG,261653,12.98957
BMA A,BMA A T3N_Edited2.PNG,186486,9.25796
BMA A,BMA A T3S_Edited2.PNG,527674,26.19599
BMA A,BMA A T3W_Edited2.PNG,144062,7.15185
BMA A,BMA A T4E_Edited2.PNG,17798,0.88357
BMA A,BMA A T4N_Edited2.PNG,46235,2.2953
BMA A,BMA A T4S_Edited2.PNG,11514,0.5716
BMA A,BMA A T4W_Edited2.PNG,23217,1.15259
BMA A,BMA A T5E_Edited2.PNG,23684,1.17577
BMA A,BMA A T5N_Edited2.PNG,130491,6.47813
BMA A,BMA A T5S_Edited2.PNG,224473,11.1438
BMA A,BMA A T5W_Edited2.PNG,175493,8.71222
BMA A,BMA A T6E_Edited2.PNG,292512,14.52155
BMA A,BMA A T6N_Edited2.PNG,329200,16.34289
BMA A,BMA A T6S_Edited2.PNG,412003,20.45359
BMA A,BMA A T6W_Edited2.PNG,121592,6.03635
BMA A,BMA A T7E_Edited2.PNG,14366,0.71319
BMA A,BMA A T7N_Edited2.PNG,85694,4.25422
BMA A,BMA A T7S_Edited2.PNG,134037,6.65417
BMA A,BMA A T7W_Edited2.PNG,148830,7.38856
BMA A,BMA A T8E_Edited2.PNG,88753,4.40608
BMA A,BMA A T8N_Edited2.PNG,128241,6.36643
BMA A,BMA A T8S_Edited2.PNG,143319,7.11497
BMA A,BMA A T8W_Edited2.PNG,189301,9.39771
BMA A,BMA A T9E_Edited2.PNG,39172,1.94467
BMA A,BMA A T9N_Edited2.PNG,151541,7.52314
BMA A,BMA A T9S_Edited2.PNG,11161,0.55408
BMA A,BMA A T9W_Edited2.PNG,53799,2.67081
BMA B,IMG_4613_Edited2.PNG,19547,0.9704
BMA B,IMG_4614_Edited2.PNG,61275,3.04195
BMA B,IMG_4615_Edited2.PNG,112042,5.56224
BMA B,IMG_4616_Edited2.PNG,10248,0.50875
BMA B,IMG_4617_Edited2.PNG,73749,3.66122
BMA B,IMG_4618_Edited2.PNG,98823,4.906
BMA B,IMG_4619_Edited2.PNG,91850,4.55983
BMA B,IMG_4620_Edited2.PNG,60440,3.0005
BMA B,IMG_4621_Edited2.PNG,20351,1.01031
BMA B,IMG_4622_Edited2.PNG,1120924,14.36847
BMA B,IMG_4623_Edited2.PNG,95909,4.76133
BMA B,IMG_4624_Edited2.PNG,66262,3.28953
BMA B,IMG_4625_Edited2.PNG,37598,1.86653
BMA B,IMG_4626_Edited2.PNG,64965,3.22514
BMA B,IMG_4627_Edited2.PNG,83538,4.14718
BMA B,IMG_4628_Edited2.PNG,112459,5.58295
BMA B,IMG_4638_Edited2.PNG,242889,12.05805
BMA B,IMG_4639_Edited2.PNG,57380,2.84859
BMA B,IMG_4640_Edited2.PNG,43768,2.17283
BMA B,IMG_4641_Edited2.PNG,69119,3.43136
BMA B,IMG_4642_Edited2.PNG,103096,5.11813
BMA B,IMG_4643_Edited2.PNG,84343,4.18715
BMA B,IMG_4644_Edited2.PNG,36729,1.82338
BMA B,IMG_4645_Edited2.PNG,27305,1.35554
BMA B,IMG_4646_Edited2.PNG,331306,16.44745
BMA B,IMG_4647_Edited2.PNG,260501,12.93238
BMA B,IMG_4648_Edited2.PNG,54821,2.72155
BMA B,IMG_4649_Edited2.PNG,48368,2.40119
BMA B,IMG_4650_Edited2.PNG,252040,12.51234
BMA B,IMG_4651_Edited2.PNG,111969,5.55862
BMA B,IMG_4652_Edited2.PNG,67950,3.37333
BMA B,IMG_4653_Edited2.PNG,55585,2.75948
BMA B,IMG_4654_Edited2.PNG,91048,4.52001
BMA B,IMG_4655_Edited2.PNG,202672,10.0615
BMA B,IMG_4656_Edited2.PNG,357127,17.72931
BMA B,IMG_4657_Edited2.PNG,208039,10.32795
BMA B,IMG_4658_Edited2.PNG,17169,0.85234
BMA B,IMG_4659_Edited2.PNG,168628,8.37141
BMA B,IMG_4660_Edited2.PNG,289287,14.36144
BMA B,IMG_4661_Edited2.PNG,346388,17.19618
BMA C,IMG_4666_Edited2.PNG,55797,2.77
BMA C,IMG_4667_Edited2.PNG,1664,0.08261
BMA C,IMG_4668_Edited2.PNG,33489,1.66254
BMA C,IMG_4669_Edited2.PNG,15655,0.77718
BMA C,IMG_4670_Edited2.PNG,1309,0.06498
BMA C,IMG_4671_Edited2.PNG,6973,0.34617
BMA C,IMG_4672_Edited2.PNG,1289,0.06399
BMA C,IMG_4673_Edited2.PNG,34241,1.69987
BMA C,IMG_4674_Edited2.PNG,1656,0.08221
BMA C,IMG_4675_Edited2.PNG,54445,2.70288
BMA C,IMG_4676_Edited2.PNG,10556,0.52404
